file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gephi\modules\ProjectAPI\src\main\java\org\gephi\project\io\Xml10FilterReader.java,org.gephi.project.io.Xml10FilterReader,class,2,3,1,2,6,3,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,24,2,1,1,0,0,0,4,4,4,3,2,0,0,0,78,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gephi\modules\VisualizationImpl\src\main\java\org\gephi\visualization\apiimpl\contextmenuitems\CopyOrMoveToWorkspace.java,org.gephi.visualization.apiimpl.contextmenuitems.CopyOrMoveToWorkspace,class,9,13,4,9,11,2,2,10,21,0.0,0.0,0.0,7,0,6,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,39,6,1,2,0,0,0,7,5,0,4,3,0,0,0,33,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gephi\modules\VisualizationImpl\src\main\java\org\gephi\visualization\apiimpl\VizEvent.java,org.gephi.visualization.apiimpl.VizEvent$Type,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gephi\modules\ImportPlugin\src\main\java\org\gephi\io\processor\plugin\DefaultProcessor.java,org.gephi.io.processor.plugin.DefaultProcessor$GraphConfigurationWrapper,innerclass,3,3,0,3,13,1,0,9,0,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,6,0,0,6,0,0,6,0,11,57,11,0,4,0,0,7,7,14,14,8,1,0,0,0,28,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gephi\modules\LayoutPlugin\src\main\java\org\gephi\layout\plugin\scale\Expand.java,org.gephi.layout.plugin.scale.Expand,class,6,8,2,6,3,1,0,1,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,29,3,0,0,0,0,1,1,1,0,1,0,0,1,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gephi\modules\ToolsAPI\src\main\java\org\gephi\tools\spi\NodePressAndDraggingEventListener.java,org.gephi.tools.spi.NodePressAndDraggingEventListener,interface,2,3,1,2,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gephi\modules\DataLaboratoryPlugin\src\main\java\org\gephi\datalab\plugin\manipulators\general\ui\MergeNodeDuplicatesUI.java,org.gephi.datalab.plugin.manipulators.general.ui.MergeNodeDuplicatesUI,class,16,22,6,16,32,18,0,53,92,0.8697478,0.0,0.0,17,0,7,10,0,0,7,0,0,0,14,2,0,14,0,0,2,0,1,243,7,6,6,0,1,20,12,32,1,28,3,1,4,0,122,17,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gephi\modules\LongTaskAPI\src\test\java\org\gephi\utils\longtask\api\SynchronousTest.java,org.gephi.utils.longtask.api.SynchronousTest,class,14,14,0,14,8,1,0,27,0,0.59375,0.0,0.0,8,0,8,0,0,0,8,0,0,0,8,1,1,1,0,6,0,0,0,62,0,0,0,0,0,2,2,4,0,10,0,0,1,0,30,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gephi\modules\PreviewExportUI\src\main\java\org\gephi\ui\exporter\preview\UIExporterPDF.java,org.gephi.ui.exporter.preview.UIExporterPDF,class,9,13,4,9,7,2,0,6,4,0.6,0.0,0.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,1,0,1,64,3,0,1,0,0,1,0,6,0,4,1,0,1,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\gephi\modules\ExportPluginUI\src\main\java\org\gephi\ui\exporter\plugin\UIExporterVNAPanel.java,org.gephi.ui.exporter.plugin.UIExporterVNAPanel$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
