file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\YoYo.java,com.daimajia.androidanimations.library.YoYo$AnimationComposer$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\fading_exits\FadeOutRightAnimator.java,com.daimajia.androidanimations.library.fading_exits.FadeOutRightAnimator,class,2,3,1,2,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,4,0,1,0,0,0,0,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\YoYo.java,com.daimajia.androidanimations.library.YoYo$AnimationComposer$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\fading_entrances\FadeInUpAnimator.java,com.daimajia.androidanimations.library.fading_entrances.FadeInUpAnimator,class,2,3,1,2,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,4,0,1,0,0,0,0,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\specials\out\TakingOffAnimator.java,com.daimajia.androidanimations.library.specials.out.TakingOffAnimator,class,2,3,1,2,1,2,0,5,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,6,0,0,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\demo\src\main\java\com\daimajia\androidanimations\MyActivity.java,com.daimajia.androidanimations.MyActivity,class,13,13,0,13,6,2,0,14,4,0.6875,0.0,0.0,4,0,3,0,1,0,4,0,0,0,4,0,0,4,0,0,0,0,1,60,3,0,1,0,0,0,1,5,0,5,1,2,0,0,36,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\YoYo.java,com.daimajia.androidanimations.library.YoYo$AnimationComposer$Anonymous3,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\YoYo.java,com.daimajia.androidanimations.library.YoYo$AnimationComposer$Anonymous4,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\attention\WobbleAnimator.java,com.daimajia.androidanimations.library.attention.WobbleAnimator,class,2,3,1,2,1,2,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2,16,2,8,2,0,0,0,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\AndroidViewAnimations\library\src\main\java\com\daimajia\androidanimations\library\specials\RollInAnimator.java,com.daimajia.androidanimations.library.specials.RollInAnimator,class,2,3,1,2,1,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,3,5,0,1,0,0,0,0,0,9,1,0
