file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\marqueeview\src\main\java\com\sunfusheng\marqueeview\MarqueeView.java,com.sunfusheng.marqueeview.MarqueeView$Anonymous2,run/0,false,216,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\app\src\main\java\com\sunfusheng\marqueeview\demo\RecyclerViewFragment.java,com.sunfusheng.marqueeview.demo.RecyclerViewFragment$RecyclerViewAdapter,onViewDetachedFromWindow/1[com.sunfusheng.marqueeview.demo.RecyclerViewFragment.RecyclerViewAdapter.ViewHolder],false,102,2,0,0,0,2,2,6,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\app\src\main\java\com\sunfusheng\marqueeview\demo\RecyclerViewFragment.java,com.sunfusheng.marqueeview.demo.RecyclerViewFragment$RecyclerViewAdapter,RecyclerViewAdapter/1[java.util.List<com.sunfusheng.marqueeview.demo.RecyclerViewFragment.Item>],true,78,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\app\src\main\java\com\sunfusheng\marqueeview\demo\RecyclerViewFragment.java,com.sunfusheng.marqueeview.demo.RecyclerViewFragment$RecyclerViewAdapter,getItemCount/0,false,110,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\app\src\main\java\com\sunfusheng\marqueeview\demo\RecyclerViewFragment.java,com.sunfusheng.marqueeview.demo.RecyclerViewFragment$RecyclerViewAdapter,"onCreateViewHolder/2[com.sunfusheng.marqueeview.demo.ViewGroup,int]",false,84,4,1,0,1,1,3,4,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\app\src\main\java\com\sunfusheng\marqueeview\demo\RecyclerViewFragment.java,com.sunfusheng.marqueeview.demo.RecyclerViewFragment$RecyclerViewAdapter,"onBindViewHolder/2[com.sunfusheng.marqueeview.demo.RecyclerViewFragment.RecyclerViewAdapter.ViewHolder,int]",false,90,4,1,0,1,4,4,9,0,1,2,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\marqueeview\src\main\java\com\sunfusheng\marqueeview\MarqueeView.java,com.sunfusheng.marqueeview.MarqueeView$Anonymous3,onAnimationStart/1[com.sunfusheng.marqueeview.Animation],false,242,1,0,0,0,2,1,6,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\marqueeview\src\main\java\com\sunfusheng\marqueeview\MarqueeView.java,com.sunfusheng.marqueeview.MarqueeView$Anonymous3,onAnimationRepeat/1[com.sunfusheng.marqueeview.Animation],false,263,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\marqueeview\src\main\java\com\sunfusheng\marqueeview\MarqueeView.java,com.sunfusheng.marqueeview.MarqueeView$Anonymous3,onAnimationEnd/1[com.sunfusheng.marqueeview.Animation],false,250,3,1,0,1,3,5,11,0,1,1,5,0,0,0,1,0,0,0,1,3,0,1,0,0,0,15,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\marqueeview\src\main\java\com\sunfusheng\marqueeview\MarqueeView.java,com.sunfusheng.marqueeview.MarqueeView$Anonymous4,onClick/1[com.sunfusheng.marqueeview.View],false,287,4,2,0,2,2,2,5,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\marqueeview\src\main\java\com\sunfusheng\marqueeview\Utils.java,com.sunfusheng.marqueeview.Utils,isEmpty/1[java.util.List<T>],false,18,1,2,2,0,3,1,6,2,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,6,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\marqueeview\src\main\java\com\sunfusheng\marqueeview\Utils.java,com.sunfusheng.marqueeview.Utils,getWindowWidth/1[com.sunfusheng.marqueeview.Activity],false,50,2,0,0,0,1,3,5,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\marqueeview\src\main\java\com\sunfusheng\marqueeview\Utils.java,com.sunfusheng.marqueeview.Utils,notEmpty/1[java.util.List<T>],false,14,2,1,0,1,1,1,3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\MarqueeView\marqueeview\src\main\java\com\sunfusheng\marqueeview\Utils.java,com.sunfusheng.marqueeview.Utils,"px2dip/2[com.sunfusheng.marqueeview.Context,float]",false,26,1,1,1,0,1,2,4,1,1,2,2,0,0,0,0,0,1,0,1,1,2,0,0,0,0,5,9,0,false
