file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\androidmvp\app\src\main\java\com\antonioleiva\mvpexample\app\login\LoginActivity.java,com.antonioleiva.mvpexample.app.login.LoginActivity,class,9,9,0,9,8,2,0,15,8,0.625,0.0,0.0,8,0,5,1,2,0,7,0,0,0,4,0,0,4,0,0,0,0,0,38,0,0,0,0,0,0,0,4,0,5,0,0,0,1,43,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\androidmvp\app\src\main\java\com\antonioleiva\mvpexample\app\login\LoginPresenter.java,com.antonioleiva.mvpexample.app.login.LoginPresenter,class,3,4,1,3,10,1,0,6,0,0.33333334,0.0,0.0,6,0,5,0,0,1,6,0,0,0,2,0,0,2,0,0,0,0,0,34,0,0,4,0,0,0,0,3,0,2,1,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\androidmvp\app\src\main\java\com\antonioleiva\mvpexample\app\main\MainAdapter.java,com.antonioleiva.mvpexample.app.main.MainAdapter,class,7,8,1,7,4,2,0,8,0,0.375,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,30,2,0,0,0,0,0,0,4,0,5,0,0,2,1,20,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\androidmvp\app\src\main\java\com\antonioleiva\mvpexample\app\main\FindItemsInteractor.java,com.antonioleiva.mvpexample.app.main.FindItemsInteractor,class,2,5,3,2,2,1,0,4,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,10,1,0,0,0,0,0,1,1,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\androidmvp\app\src\main\java\com\antonioleiva\mvpexample\app\main\MainView.java,com.antonioleiva.mvpexample.app.main.MainView,interface,0,3,3,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\androidmvp\app\src\main\java\com\antonioleiva\mvpexample\app\login\LoginInteractor.java,com.antonioleiva.mvpexample.app.login.LoginInteractor,class,2,4,2,2,3,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,1,0,0,0,2,0,1,1,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\androidmvp\app\src\test\java\com\antonioleiva\mvpexample\app\main\MainPresenterTest.java,com.antonioleiva.mvpexample.app.main.MainPresenterTest,class,9,9,0,9,6,1,0,19,0,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,3,0,0,1,0,2,0,0,1,32,0,0,0,0,0,4,7,3,0,5,0,0,0,0,40,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\androidmvp\app\src\main\java\com\antonioleiva\mvpexample\app\main\MainPresenter.java,com.antonioleiva.mvpexample.app.main.MainPresenter,class,2,4,2,2,9,1,0,6,0,0.33333334,0.0,0.0,6,0,2,0,0,4,6,0,0,0,2,0,0,2,0,0,0,0,1,31,1,0,3,0,0,1,0,3,0,2,1,0,0,0,18,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\androidmvp\app\src\main\java\com\antonioleiva\mvpexample\app\main\MainAdapter.java,com.antonioleiva.mvpexample.app.main.MainAdapter$MainViewHolder,innerclass,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\androidmvp\app\src\main\java\com\antonioleiva\mvpexample\app\main\MainActivity.java,com.antonioleiva.mvpexample.app.main.MainActivity,class,10,11,1,10,10,2,0,15,14,0.59259266,0.0,0.0,9,0,6,0,3,0,9,0,0,0,3,0,0,3,0,0,0,0,0,46,3,0,0,0,0,0,0,3,0,3,1,0,0,0,43,1,0
